,product,title ,rating,body
10,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",Bigg screen for old age people,5,Light weight big screen soft touch
11,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",Return it without any doubts,1,"Wow what a sensor...It measures HR, BP, SPO2 of a doll...😀😀😀"
12,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)","avoidable, substandard, fake sensors",1,"Your browser does not support HTML5 video.


   all 3 sensors - spo2 , bp and HR - show consistently same results on multiple occasions when the watch is off the wrist, showing substandard quality of sensors used...lift to wake function is laggy and doesn't work most of the time, battery drains pretty fast, Music control function needs very hard pressing for forward and back tools, UI is laggy as well.. don't waste money on this product"
13,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",Not Accuracy. Its toys only.,1,"Your browser does not support HTML5 video.


   After two days used.here i submit my review this watch was totally fake. Its toys only. Heart rate,spo2,bo totally fake. Even not wear this watch its show figure. Sensors not working properly. Pls don't buy this watch."
14,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",Don't buy this,1,"Your browser does not support HTML5 video.


   Pros: 1. Steel build looks premium, eventhough it is a copy of Amazfit products.  2. Weight and size is perfect. The strap is comfortable. 3. Step count is accurate, within 50 steps +/- compared to ticwatch, samsung, mi band.Cons: 1. This doesn't automatically track any of the sports activities. You have to manually switch on.2. It has swimming mode, but only ip67 so you can't use it to track swimming.3. GPS is associated with phone GPS and outdoor tracking needs you to have your phone with you.4. The software is crap.5. Phone app is another big minus. It has these blank pages with no instructions or what to expect in those pages.This is neither a smartwatch nor a smart band. Spend ₹1000 more for better products or buy a band like Mi which is far far better at a cheaper price.IT WAS DELIVERED ON 7TH MAY AND THE BUTTON STOPPED WORKING ON 23RD MAY. IF ANYONE CAN FIND ANY DETAIL AVOUT HOW TO CONTACT CUSTOMER CARE LET ME KNOW."
15,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",Watch good enough to impress you in first 20 mins,5,"Impressed in the first 20mins only. Product has the weight for the price being charged. Actually has great features than other watches of the price range. Will update my review after few days of use. But I am sure I won't be disappointed.Update.The watch is just great. Accuracy of measurement is 80-90% which is decent enough for a watch at this price. Watch faces not that great collection but the option to add your photo as background is a huge +. Battery decent. Kept all functions on automatic and brightness 70% still gave 2 days and battery left is around 77%. Using strapbis easy just slips in due to smooth matte finish. Charging cable to be carefully used as it just relies on magnetic attraction. No clip on is available,, so make sure it's charging the watch once connected. You may think this is a paid bogus review but I don't care. The company has genuinely given a good product and it should be reviewed accordingly, be it pros and cons. I would give a 9/10. It's really worth the money. Nothing great like fossil or samsung or Apple, but a real decent product"
16,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",Simply awesome,5,"Its my first smart watch and I think it has good value for money. For a low price of 3999 INR, I got a solid performer. I have had smartbands before, but they are like teasers for smartwatches. I wanted to have a proper smartwatch and decided to go with an Indian brand. I have to say, I am happy with my decision. The product is easy to use and setup. There have been no drops in connectivity since I have started using it. And most importantly, wearing it all day doesn't make me feel uncomfortable in anyway. It gives me a good track of what I need to know when I am working out and what to aim for. For Rs 3999, I get features like heart rate monitoring, blood pressure monitoring and Spo2 function,10 work out modes, calorie counter , 15 days battery, 1.69""HD display."
17,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",Compulsive review,1,It is compulsory to write product review while registering in the App.  As I not yet used the watch I may not write any review now
18,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)","Amazing Watch, At affordable Price !!",5,"Your browser does not support HTML5 video.


   Fire-Boltt Beast Smart watch is an amazing watch. It looks exactly as shown in the pictures.With 1.69"" HD display, metallic design it's a steal at this price.It measures my blood oxygen levels, tracks my beats per minute and my measures my blood pressure.It has 10 different sportsmode and it has a powerful battery of 15 days.I have never seen such an amazing watch at such an affordable price."""
19,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",Its a 10/10,5,"I bought this watch for my mother as I wanted a watch that could measure her oxygen levels. It was absolutely beautiful and really sleek and simple. The watch has a 1.69"" HD Display bigger than any other brands. The most amazing part of this watch is how accurately it tracks every aspect of life be it your sleep, your steps and even your heartbeats and blood oxygen levels. It has a large number of watch faces. It has a really good battery backup of 15 days. Good display and small bezel just add more charm to the product.The best part of all is how the watch actually fit her without having to make modifications to the band. So this watch was perfect in every way. Would give it 10/10"
20,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",Watch doesn't deserve this 3.5k to 4k price,1,"Your browser does not support HTML5 video.


   There are lots of issues, the sensors shows heart rate even when I put the watch on flat surface, when I receive call i tried to make it silent, but after pressing silent, the ring was still ringing loudly. The 'next' button in music control feature is not working, the battery also drains fast. The wake up response is very poor, many times it doesn't work. I felt like cheated by the brand for just some 4k rupees. The company doesn't understand the value of product quality and customer satisfaction. Don't go for this cheap watch for just because of big screen. I tried to apply my photo for watch face, but whaen I applied it, the quality was very pathetic. Never ever go for this cheap and poor quality watch and i recommend to not to buy any watch from this brand."
21,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",Loved it !!!,5,"I am absolutely in love with my new watch. It does not betray me at any point. This premium quality smart watch  has an excellent Bluetooth connectivity, it gets automatically connected to my phone. It's an awesome product from Fire-Boltt. With a 1.69"" HD display, It has a powerful battery bacbackupup of 15 days. It does not betray me at any point, also has motion sensors meaning when you move up your hand to see the time the screen automatically lights up which is a really cool and amazing feature not found in other watches of this range.  You wouldn't be disappointed or feel cheated. The watch acts like a virtual fitness coach, with its 24*7 heart rate sensor Spo2 function and idle alert. It has 15 days battery backup which is really impressive. It has the super bright display and small bezel. The best part is how accurately it keeps a track of my sleep. Absolutely love this and highly recommend this to everyone."
22,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",Amazing Smart Watch,5,"Indeed a great purchase. It definitely deserves 5 stars. Fire-Boltt Beast is the best smartwatch. It's a must but gadget as it accurately measures blood oxygen levels. It has a 24*7 heart rate sensor which measures heart beat. It has a battery backup of 15 days and a large display of 1.69"".  It has multiple sportsmode, so if you are fitness freak. Then you must go for this amazing smart watch."
23,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",BP reading is incorrect,1,"Watch is untested for BP monitoring. Please see attached pictures for reference, I have done some tests with entering my weight as different numbers in my personal profile of the mobile app. For weight 93Kg: BP readings 160/80 & 167/80For weight 72Kg: BP readings 129/81 & 132/78For weight 60Kg: BP reading 115/78Watch was not removed from the wrist and taken on the same person with different weight values.It sounds like a child’s play who programmed the watch and it’s mobile app that manipulates the health parameters based on weight entered.Parameters like SPO2 I think shows some information. Good oxygen saturation shows between 96-97%, but Heart Rate is having offset of +/- 10 to 15 BPM, slow calculation, acceptable for this price. After above experiments on BP readings, should I believe on SPO2 and HR?"
24,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",Satisfied looking at the price range,4,"Just received: Kind of satisfied by initial performance. Touch lags a bit specially while scrolling up or back to top but rotating button is working nicely. Screen resolution not that great but looking at the price I have no complaints. Also, it is missing 15-20% of steps (I guess steps with little body moment or soft steps) which I think is acceptable instead of having increment in steps as false report even when you are sitting which this watch atleast doesn’t do.Da fit app is great, it has lot of features to control the watch. SPO2 and other health tracking system is working fine now."
25,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",Step count  and Bp measurement not accurate.,3,"Step count and Bp measurements is not accurate, also it also count step in sitting person. Many times it not show call and message notification"
26,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)","My first watch, Found a Good Watch...",5,"✓ Giving a premium look and feel, it's very light weight than my previous analogue watch.✓ Packaging was nice.✓ Display size giving premium feeling, it shows no compromise with build.✓ Have doubt about accuracy of spo2 and BP."
27,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",Good buy,4,The first thing you do with smart watches is to measure accuracy for given functionality...and it didn't disappoint...and getting this on this price...giving 4 star as it is not measuring BP accurately
28,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",BEST WATCH UNDER 4000,5,"Your browser does not support HTML5 video.


   best product ever under economical prize as well as yo also get 3 card 1st zee5 subscription,2nd bolllt play card and 3rd 3 month ganna subscription free."
29,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",Average quality watch...,1,The watch blood pressure monitor is useless. It shows 180/80 range all the time. Step counter is ok. It is not always on. It doesnt show time even when wrist is turned on. Overall very average quality watch.
30,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",The smart Beast arrived 💪 superr,5,Good product at this price range.built quality is good gives a premium look. Sp02 and blood pressure reading almost all okk..there is a accuracy...display is excellent no lags. Plenty of watch faceses.Da fit app not connecting with Google fit but it's not a corn..no gps..Thanks to Fire. Boltt team they introduced a real beast excellent product at this price range go for it ..
31,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",Great budget watch for beginners to check usage of SmartWatch,4,"Pros: Great product for the price. Has all all functionalities. The best part is the screen brightness and the text size incorporates all types of messages.1. SPO22. BPM3. BP4. Sleep pattern5. Exercise modes6. Step count7. Notifications and text8. CallsCons:1. Very limited App features2. Even though its claimed that you can have numerous watch faces, only 5 presets are available. So you have to be searching continuously and that too only one watch face gets updated. 4 remains as preset. Annoying.3. The mic and speaker can be much better."
32,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",The request from you is not to forcefully prove your wrong thing right.,3,"Why don't you call my review inappropriate, I don't understand? The watch given to me is monitoring BP and other things from the age Factor. While in the review, the watch has been described as more than 90% accurate, which is incorrect. On setting my mother's age, my and my mother's BP measurement same shows  and when I set it on its age, then it shows the beans of both. All images att for your records please."
33,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)","Weird, inaccurate readings & Useless app",1,Beware. All 5 star rating are dei to some 'free' offer by the seller. Plus the demands why I had given low rating. This watch is not accurate. Wide gaps between actual events & the watch reading. It shown me awake way past mid night when I was in deep sleep for over 4 hours. Also mobile app need a lot of improvememts. Only 5 watch faces are there. Same goes for exercises as well. No how to guide for using other features.
34,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",Best smart watch I have bought,5,"Your browser does not support HTML5 video.


   Fire-Boltt Beast is the best smart watch. This smartwatch has awesome features like 24/7 heart rate and blood-oxygen monitoring features and blood pressure monitoring which makes it a necessary health accessory in the current scenario."
35,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",Disappointment 😞,1,"2 months down the line, it is most pathetic item with zero accountability from Amazon or Fireboltt as watches shell life is max 2 months and customer service never responds. Technically, it is total waste and absolutely disappointed by the customer service"
36,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",Value for money,4,"Product is good in this price range, but if you have more expectations for Heart rate monitoring & BP measurements definitely you feel not very accurate both things. But watch face is good option. If you take 10 time BP it will show 50% correct and 20% is just below & above +/- 10 but three time shows wrong. weight of watch is very good feel premium product. Over all product is good and value for money."
37,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",Very minimal and primitive watch not for pros,2,low quality. No connection with Google fit. Tracks foot steps inaccurate. In between work out can't control music or read messages.Da fit app is very primitive and very less watch faces all ugly. Doesn't support wear os or other smart watch apps. No inbuilt gps so have to keep phone gps on and drains a lot of battery. Can't answer calls or reply to messages. Music control is very clumsy and delayed. Don't t recommend it for heavy users.
38,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",Fake Bp and spo2 features,1,Bp and spo2 reading are inaccurate if you are purchasing this watch for these two features then you need to find different watch because the reading are not even closer to actual readingsMy bp was 145/93But this watch shows reading of 127/78Just wow
39,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",A fully loaded smartwatch @ best price.,5,"The smartwatch with full of features and provides all the different features which you need in day to day life. Blood pressure, heart rate, SPO2, sleep monitor are some of those. The watch seems accurate and looks stylish at the same time. A fully loaded smartwatch at this price is amazing. Definitely a go go."
40,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",Bug in the watch,1,"Earlier comments when I sought newly: Accuracy is good, touch response is good, just bought it need to explore more..  but need periodic SpO2 measure automatically. Maybe you can do this feature along with heart rate monitoringNew comment after usage of 3 weeks:  I had kept my watch for charging and observed even if I don't wear the watch heart rate and Spo2 is measured and updated in app. This is a biggest bug in the smart watch."
41,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",Just Average not beast!,3,"Pros;1. Comfortable to wear for long time.2. Good brightness even bin day light.3. Ease of use.4. Spo2 and heart rate looks ok.Cons;1. BP monitoring is not accurate, having huge difference.2. Battery can't resist for more than 3 days.3. Wake up to lift arm lags sometimes.4. App is having limited watch faces, no option to export/email health data."
42,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",1 month review,3,"I use it for about a month now. And I would say it's an average watch. Better than bolt, amazfit bip and all but not up to the mark.Battery is not as per company's claim but will give you 2-3 days for sure..Overall I would say who want a decent smart watch with big screen they should go for this, but if you can increase your budget then go for better quality."
43,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",Really Shocked,2,This is a complete hoax. My friend had bought the same watch that I bought a few days ago. My friends watch had bp measurment facility while the same was missing from my watch. Amazon should review the product that it is selling so as to avoid getting this kind of reviews. I'm utterly disappointed and disgusted with this discrimination. It pains me to see these kind of companies being endorsed by Amazon. It may prove to be it's achilles hills in the future and Amazon along with the company that made this watch will lose its credibility.
44,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",Great value,5,"10 on 10 for the looks and display. Looks great. But extremely poor battery life. without much usage also, hardly it was lasting 2 to 3 days.SPO2 measurement was fake (at least in my watch what i got). it will randomly give from 3 values - 96/97 or 98. while exercising my oxygen goes around 90, but watch will always say 96 or 97.Product description says 24*7 SPO2 (continuous monitoring) support, which is not true. Pulse can be monitored 24*7 every 30 mins, but SPO2 is always manual measurement.BP measurement is quite off.Pulse measurement is correct"
45,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",To check the Oxygen level,5,"I like this product very much &glad to get it,for now days very useful check the SP02 level."
46,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",Good features. Need to improve on BP accuracy.,4,The watch looks premium. It has nice collection of watch faces. Battery backup and screen brightness is also good. Thr magnetic charger makes the charging hasslelessContinues BP tracking and accuracy improvement should be made available and it will be true gem. Many Indians have BP issue this can be a life saver if improvements are made.The BP is not accurate when compared with the Medical one. The watchface is lost if the battery drain out completely.
47,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",Best in the Segment,5,The watch is the best in the segment with big screen and working crown. Light weight and awesome looks.
48,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",Good budget smart watch,4,"A good budget smart watch. Following are pros and cons after 6 days of use.Pros1. Large touch screen.2. Decent battery life up to 3 days.3. Good accuracy of heart rate and spo2. Check against the spo2 , heart rate measurements medical device. Accurate up to 1% variation.4. Additional feature of blood pressure measurement is good but can not comment about its accuracy as not validated against any medical device.5. Many watch faces available.6. Connecting with phone is super easy.Cons.1. Step count needs improvement.2. Workout can not be auto detected.3. Only one additional watch face can be download in the watch.4. Amazingly does not display % battery charge when docked for charging. So you have to only judge whether fully charged or not."
49,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",Excellent,5,"Your browser does not support HTML5 video.


   Best product for this time it's measure correct data ."
50,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",Awesome,5,Awesome watch ... budget beast... should buy it
51,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",Good Product with less cost,5,I'm writing the review based on 1 day usage. All overall product look good and I love it.
52,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",Good product,5,Product is good
53,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",An excellent smart watch!!,5,"I have used many different brands before, however, this one by far is the best. It is good-looking with all the featuresyou would love to have. The best part is the battery which has adequate capacity. The price is competitive.I have used it for few days only and would love to add remarks after some time."
